time_open,time_close,symbol,side,entry_price,exit_price,qty,pnl,confidence,hold_bars
2025-08-08 10:22:44,2025-08-08 10:29:08,ETHUSDT,SELL,3920.5,3899.76,0.00421768,0.08747478,0.84,5
2025-08-08 10:22:44,2025-08-08 10:29:08,XRPUSDT,SELL,3.3506,3.3263,4.58256154,0.11135625,0.78,5
2025-08-08 10:22:44,2025-08-08 10:29:08,SOLUSDT,BUY,174.38,174.65,0.095953,0.02590731,0.85,5
2025-08-08 10:22:44,2025-08-08 10:29:08,DOGEUSDT,SELL,0.22137,0.22067,68.47124866,0.04792987,0.77,5
2025-08-08 10:22:44,2025-08-08 10:29:08,SUIUSDT,BUY,3.7735,3.7841,3.96465613,0.04202536,0.76,5
2025-08-08 10:22:44,2025-08-08 10:29:08,TRXUSDT,BUY,0.3386,0.3387,26.74281781,0.00267428,0.46,5
2025-08-08 10:22:44,2025-08-08 10:29:08,ENAUSDT,BUY,0.6301,0.6218,19.3695039,-0.16076688,0.62,5
2025-08-08 10:30:10,2025-08-08 10:36:33,SUIUSDT,BUY,3.7725,3.7716,4.57858907,-0.00412073,0.76,3
2025-08-08 10:30:10,2025-08-08 10:40:49,ETHUSDT,SELL,3907.97,3903.99,0.00482697,0.01921132,0.83,5
2025-08-08 10:30:10,2025-08-08 10:40:49,XRPUSDT,SELL,3.3388,3.3161,4.96912336,0.1127991,0.73,5
2025-08-08 10:30:10,2025-08-08 10:40:49,SOLUSDT,BUY,174.21,174.56,0.11741315,0.0410946,0.9,5
2025-08-08 10:30:10,2025-08-08 10:40:49,TRXUSDT,BUY,0.3386,0.3392,41.615207,0.02496912,0.62,5
2025-08-08 10:30:10,2025-08-08 10:40:49,ENAUSDT,BUY,0.6289,0.6204,20.23735527,-0.17201752,0.56,5
2025-08-08 10:32:17,2025-08-08 10:42:55,DOGEUSDT,SELL,0.22091,0.22052,74.75334511,0.0291538,0.72,5
